ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CO-099,Prowers County,Colorado,42,7.7,126,34.3
CO-101,Pueblo County,Colorado,40.1,5.6,121,34.5
CO-103,Rio Blanco County,Colorado,31.2,6.3,119,24.9
CO-105,Rio Grande County,Colorado,27.6,5.6,117,22
CO-107,Routt County,Colorado,25.2,4.1,115,21.1
CO-109,Saguache County,Colorado,26.3,4.5,115,21.8
CO-111,San Juan County,Colorado,21.7,2.3,91,19.4
CO-113,San Miguel County,Colorado,30.8,3.6,110,27.2
CO-115,Sedgwick County,Colorado,38.6,8.9,127,29.7
CO-117,Summit County,Colorado,21.7,3.1,106,18.6
CO-119,Teller County,Colorado,28.7,4.5,116,24.2
CO-121,Washington County,Colorado,38.1,8,124,30.1
CO-123,Weld County,Colorado,35,5.5,117,29.5
CO-125,Yuma County,Colorado,39.7,8.9,128,30.8
CT-001,Fairfield County,Connecticut,34.1,6.5,118,27.6
CT-003,Hartford County,Connecticut,33.4,7.3,119,26.1
CT-005,Litchfield County,Connecticut,31,7.3,120,23.7
CT-007,Middlesex County,Connecticut,33.7,6.3,116,27.4
CT-009,New Haven County,Connecticut,33.4,6.1,115,27.3
CT-011,New London County,Connecticut,34.2,6.5,120,27.7
CT-013,Tolland County,Connecticut,32.7,7,118,25.7
CT-015,Windham County,Connecticut,32.8,6.7,118,26.1
DE-001,Kent County,Delaware,39.7,5.6,114,34.1
DE-003,New Castle County,Delaware,38.6,6,116,32.6
DE-005,Sussex County,Delaware,40.8,5.4,113,35.4
FL-001,Alachua County,Florida,57.7,0.6,73,57.1
FL-003,Baker County,Florida,56.2,1,76,55.2
FL-005,Bay County,Florida,56,1.5,83,54.5
FL-007,Bradford County,Florida,57.5,1.1,77,56.4
FL-009,Brevard County,Florida,62.6,0.8,75,61.8
FL-011,Broward County,Florida,67.1,1,72,66.1
FL-013,Calhoun County,Florida,55.2,1.4,82,53.8
FL-015,Charlotte County,Florida,63.8,0.2,64,63.6
FL-017,Citrus County,Florida,59.7,1,74,58.7
FL-019,Clay County,Florida,58.4,1.8,81,56.6
FL-021,Collier County,Florida,66.4,0.9,73,65.5
FL-023,Columbia County,Florida,55.6,0.3,69,55.3
FL-027,DeSoto County,Florida,62.8,-0.1,64,62.9
FL-029,Dixie County,Florida,56.7,0.8,74,55.9
FL-031,Duval County,Florida,57.9,2.2,85,55.7
FL-033,Escambia County,Florida,57.2,3.3,105,53.9
FL-035,Flagler County,Florida,60,1.5,82,58.5
FL-037,Franklin County,Florida,55.6,0.5,69,55.1
FL-039,Gadsden County,Florida,55.4,1.8,86,53.6
